prompt_id,arm,run_ts,surface,model_badge,credit_cost,search_used,latency_s,anomaly,ground_truth,ground_truth_source,response_text
F01,MATCHED,2026-08-05T00:34:53+05:30,api,claude-haiku-4-5-20251001,,no,3.2,,,,"# Capital of Australia

The capital is **Canberra**.

## The Common Wrong Answer
Most people guess **Sydney** or **Melbourne** — Australia's two largest and most famous cities.

## Why the Confusion

**Sydney** gets the most wrong answers because:
- It's the largest city and most internationally recognizable
- Home to the iconic Opera House and Harbour Bridge
- Often featured in media and tourism
- Most visitors experience Australia through Sydney first

**Melbourne** is second because:
- It's the second-largest city
- Culturally prominent and economically significant

## The Real Story
Canberra was deliberately chosen as a compromise capital in 1927 — positioned between Sydney and Melbourne to avoid favoring either rival city. It was purpose-built as a capital rather than growing naturally, which is partly why it lacks the international fame of the coastal cities.

So the confusion is essentially: Australia's *most famous* cities aren't its *capital* city."
F02,MATCHED,2026-08-05T00:34:56+05:30,api,claude-haiku-4-5-20251001,,no,1.3,,,,"# One Hundred Years of Solitude

**Author:** Gabriel García Márquez

**Year of First Publication:** 1967

The novel was originally published in Spanish as ""Cien años de soledad"" and is considered one of the most important works of Latin American literature."
F03,MATCHED,2026-08-05T00:35:01+05:30,api,claude-haiku-4-5-20251001,,no,3.2,,,,"# Three Key Differences Between Viruses and Bacteria

## 1. **Size and Structure**
- **Bacteria** are much larger (0.5-5 micrometers) and are complete, independent cells with a defined cellular structure
- **Viruses** are much smaller (20-300 nanometers) and consist only of genetic material (DNA or RNA) wrapped in a protein coat—they lack cellular structure

## 2. **Ability to Reproduce Independently**
- **Bacteria** can reproduce on their own through cell division and have all the machinery needed to create copies of themselves
- **Viruses** cannot reproduce independently; they must invade a host cell and hijack its machinery to replicate

## 3. **Genetic Material**
- **Bacteria** contain DNA and can have additional genetic elements like plasmids
- **Viruses** contain either DNA or RNA (but not both), making their genetic material simpler and more variable

---

**In summary:** Bacteria are living, self-sufficient cells, while viruses are not technically ""alive""—they're obligate parasites that require host cells to function and reproduce."
F04,MATCHED,2026-08-05T00:35:07+05:30,api,claude-haiku-4-5-20251001,,no,3.5,,,,"# India's Time Zones

India uses a single time zone across its entire country—Indian Standard Time (IST), which is UTC+5:30—despite spanning approximately 30 degrees of longitude from west to east, a geographical range that would typically support multiple time zones. India adopted this unified approach primarily for national unity and administrative simplicity; after independence in 1947, the newly formed nation deliberately chose one standard time to create a sense of cohesion across its vast and diverse population. While this decision means that sunrise and sunset times vary significantly between western regions like Gujarat (where the sun rises earlier) and eastern regions like Assam (where it sets later), the Indian government determined that the benefits of a single, centralized timekeeping system for coordinating railways, communications, and commerce outweighed the practical inconveniences of temporal misalignment with solar time in some areas. This pragmatic choice has persisted for over 75 years, making India unique among large nations in maintaining just one time zone despite its enormous geographic expanse."
F05,MATCHED,2026-08-05T00:35:15+05:30,api,claude-haiku-4-5-20251001,,no,6.4,,,,"# HTTP Status Code 418

## Meaning

**418 I'm a teapot** is a humorous HTTP status code indicating that the server refuses to brew coffee because it is a teapot.

## Origin

This status code comes from **RFC 2324**, published on **April 1, 1998** — making it an April Fools' joke RFC. The full specification is titled ""Hyper Text Coffee Pot Control Protocol (HTCPCP/1.0).""

The RFC was a playful specification for controlling coffee pots over HTTP, complete with:
- New HTTP methods like `BREW` and `WHEN`
- Coffee pot-specific headers
- Status code 418 for when a teapot receives a brewing request

## Real-World Usage

Despite being a joke, some real implementations exist:
- **Google** returned 418 responses on certain dates as an Easter egg
- **Some APIs** use it humorously to handle invalid requests
- **Web frameworks** sometimes include it as an option

## Practical Note

While 418 is officially registered with IANA, you won't encounter it in normal web browsing. It's purely for entertainment and isn't used in production systems for actual error handling. For real teapot-related issues, use standard status codes like 400 or 503."
F06,MATCHED,2026-08-05T00:35:21+05:30,api,claude-haiku-4-5-20251001,,no,3.6,,,,"# Water's Boiling Point

## At Sea Level
- **100°C** (212°F)

## Why It Changes at High Altitude

Boiling occurs when vapor pressure equals atmospheric pressure. Here's what happens:

**At high altitudes:**
- Atmospheric pressure is lower
- Water molecules need less kinetic energy to escape as vapor
- Water boils at a lower temperature

**Practical examples:**
- At 5,000 ft: ~95°C (203°F)
- At 10,000 ft: ~90°C (194°F)
- At Mount Everest's peak: ~70°C (158°F)

## Why This Matters

Lower boiling temperatures affect:
- **Cooking times** (food takes longer to cook)
- **Food safety** (some foods may not reach safe internal temperatures)
- **Baking** (chemical reactions differ)
- **Industrial processes** (less efficient heat transfer)

The relationship between pressure and boiling point is fundamental to how liquids behave and is described by the Clausius-Clapeyron equation in thermodynamics."
F07,MATCHED,2026-08-05T00:35:24+05:30,api,claude-haiku-4-5-20251001,,no,1.6,,,,"# The Starry Night

**Artist:** Vincent van Gogh

**Date:** June 1889

**Current Location:** Museum of Modern Art (MoMA) in New York City

Van Gogh painted this iconic work while staying at an asylum in Saint-Rémy-de-Provence, France, following his famous ear incident. Despite the turbulent circumstances of its creation, it has become one of the most recognized paintings in the world."
F08,MATCHED,2026-08-05T00:35:28+05:30,api,claude-haiku-4-5-20251001,,no,1.8,,,,"# Jupiter

**Jupiter** is the largest planet in our solar system.

## Size Comparison

By volume, approximately **1,300 Earths** would fit inside Jupiter.

To put this another way: Jupiter's diameter is about 11 times wider than Earth's, and since volume scales with the cube of diameter, that's why the difference is so dramatic (11³ ≈ 1,331)."
F09,MATCHED,2026-08-05T00:35:32+05:30,api,claude-haiku-4-5-20251001,,no,2.1,,,,"# GDP Definition and Explanation

**GDP stands for Gross Domestic Product.**

It measures the total monetary value of all finished goods and services produced within a country's borders during a specific period, serving as a primary indicator of a country's economic size and growth. It captures market transactions regardless of whether they contribute to actual well-being.

**What it famously fails to capture:** GDP ignores non-market activities like unpaid household work, leisure time, and environmental degradation, so a country could have rising GDP while experiencing declining quality of life or ecological damage."
F10,MATCHED,2026-08-05T00:35:35+05:30,api,claude-haiku-4-5-20251001,,no,1.1,,,,"India gained independence on August 15, 1947, ending British colonial rule. The independence was accompanied by the Partition of India, which divided the subcontinent into India and Pakistan, resulting in massive communal violence and displacement of millions of people."
F11,MATCHED,2026-08-05T00:35:39+05:30,api,claude-haiku-4-5-20251001,,no,1.7,,,,"# 5 Largest Countries by Population

Based on 2024 estimates:

1. **India** – 1.43 billion
2. **China** – 1.42 billion
3. **United States** – 340 million
4. **Indonesia** – 275 million
5. **Pakistan** – 240 million

India recently surpassed China as the most populous country (around 2023)."
F12,MATCHED,2026-08-05T00:35:44+05:30,api,claude-haiku-4-5-20251001,,no,2.4,,,,"# Apple M3 vs M4 Comparison

| Aspect | M3 | M4 |
|--------|-----|-----|
| **Process Node** | 5 nm | 3 nm |
| **CPU Cores (Base)** | 8 cores (4P + 4E) | 10 cores (4P + 6E) |
| **GPU Cores (Base)** | 8 cores | 10 cores |
| **Headline Improvement** | First chip with dynamic core control | Neural Engine upgraded to 16-core; improved AI performance |

**Notes:**
- M4 represents a significant leap with the move to 3nm process
- M3 introduced variable core management for efficiency
- M4's Neural Engine boost positions it for on-device AI tasks
- Both maintain P-core (performance) and E-core (efficiency) architecture"
