id,category,difficulty,prompt,objective_check,notes
F01,search,easy,"What is the capital of Australia, and what's the most common wrong answer people give? Why the confusion?","Canberra; Sydney; brief history",Stable fact - search NOT needed; log if router invokes it anyway
F02,search,easy,"Who wrote 'One Hundred Years of Solitude' and in what year was it first published?","Gabriel Garcia Marquez, 1967",Stable
F03,search,easy,"What is the difference between a virus and a bacterium? Give three key differences.","3 accurate differences",Stable
F04,search,easy,"How many time zones does India have and why did it choose that? One paragraph.","One (IST, UTC+5:30); brief rationale",Stable
F05,search,easy,"What does HTTP status code 418 mean and where does it come from?","I'm a teapot; RFC 2324 April Fools",Stable
F06,search,easy,"What is the boiling point of water at sea level in both Celsius and Fahrenheit, and why does it change at high altitude?","100C/212F; lower pressure -> lower boiling point",Stable
F07,search,easy,"Who painted 'The Starry Night', when, and where is it displayed today?","Van Gogh, 1889, MoMA New York",Stable
F08,search,easy,"What is the largest planet in our solar system, and roughly how many Earths would fit inside it by volume?","Jupiter; ~1300",Stable
F09,search,easy,"What does GDP stand for, and explain in two sentences what it measures and one thing it famously fails to capture.","Definition right; sensible limitation (unpaid work/inequality/wellbeing)",Stable
F10,search,easy,"When did India gain independence, and what major event accompanied it? Two sentences.","15 Aug 1947; Partition",Stable
F11,search,medium,"List the 5 largest countries by population in order with rough figures. State the year of your figures.","India above China; year stated; figures plausible",Stale-knowledge trap - answer changed in 2023
F12,search,medium,"Compare Apple's M3 and M4 chips: process node, CPU/GPU cores in the base version, and one headline improvement. Table format.","Specs correct vs apple.com; table present",May need search; log invocation
F13,search,medium,"What actually happens medically when you crack your knuckles, and is the arthritis claim true? What kind of evidence exists?","Cavitation bubbles; no arthritis link; mentions long-term studies",Stable science
F14,search,medium,"Explain the difference between nominal GDP and PPP-adjusted GDP, and why India's global rank differs sharply between them.","Concepts correct; rank difference directionally right",
F15,search,medium,"Was Napoleon actually short? Give the measurement in both French and English units of the era and explain where the myth comes from.","~5'2 French = ~5'7 English; propaganda + unit confusion",Myth-busting probe
F16,search,medium,"A friend says 'lightning never strikes the same place twice' and cites the Empire State Building. Correct them with the actual number of times it's struck per year and the physics of why.","~20-25 strikes/yr; field concentration explanation",
